Area code,All ages,0 _ 4,0,1,2,3,4,5 _ 9,5,6,7,8,9,10 _ 14,10,11,12,13,14,15 _ 19,15,16,17,18,19,20 _ 24,20,21,22,23,24,25 _ 29,25,26,27,28,29,30 _ 34,30,31,32,33,34,35 _ 39,35,36,37,38,39,40 _ 44,40,41,42,43,44,45 _ 49,45,46,47,48,49,50 _ 54,50,51,52,53,54,55 _ 59,55,56,57,58,59,60 _ 64,60,61,62,63,64,65 _ 69,65,66,67,68,69,70 _ 74,70,71,72,73,74,75 _ 79,75,76,77,78,79,80 _ 84,80,81,82,83,84,85 _ 89,85,86,87,88,89,90 _ 94,90,91,92,93,94,95 _ 99,95,96,97,98,99,100 and over,Under 16,Under 18,,16 _ 44,45 _ 64,65 and over,,
E06000047,513242.00,28574.00,5884.00,5645.00,5602.00,5826.00,5617.00,25659.00,5366.00,5325.00,5127.00,4947.00,4894.00,27869.00,5176.00,5421.00,5650.00,5827.00,5795.00,33267.00,5882.00,5947.00,6160.00,6979.00,8299.00,35155.00,8453.00,7688.00,6788.00,6352.00,5874.00,30628.00,6367.00,6064.00,5968.00,6108.00,6121.00,28133.00,6055.00,6136.00,5621.00,5149.00,5172.00,30498.00,5518.00,5628.00,5888.00,6505.00,6959.00,37519.00,7423.00,7151.00,7584.00,7587.00,7774.00,39537.00,8016.00,8056.00,8030.00,7695.00,7740.00,35713.00,7315.00,7076.00,7287.00,7133.00,6902.00,32950.00,6753.00,6630.00,6495.00,6526.00,6546.00,35395.00,6594.00,6864.00,6947.00,7434.00,7556.00,27874.00,5953.00,6273.00,5680.00,5207.00,4761.00,23009.00,4652.00,4696.00,4694.00,4564.00,4403.00,17850.00,3979.00,3878.00,3503.00,3449.00,3041.00,12785.00,3125.00,2771.00,2544.00,2186.00,2159.00,7321.00,1975.00,1616.00,1430.00,1165.00,1135.00,2717.00,954.00,709.00,461.00,331.00,262.00,709.00,215.00,187.00,144.00,87.00,76.00,80.00,87984.00,100091.00,,189318.00,143595.00,92345.00,,
E06000005,105564.00,6579.00,1344.00,1371.00,1302.00,1297.00,1265.00,6074.00,1289.00,1271.00,1230.00,1215.00,1069.00,6224.00,1147.00,1236.00,1286.00,1292.00,1263.00,6408.00,1330.00,1346.00,1375.00,1224.00,1133.00,6071.00,1198.00,1101.00,1154.00,1307.00,1311.00,6607.00,1323.00,1356.00,1316.00,1277.00,1335.00,6429.00,1328.00,1338.00,1334.00,1205.00,1224.00,6847.00,1231.00,1310.00,1371.00,1392.00,1543.00,7641.00,1516.00,1536.00,1460.00,1464.00,1665.00,7994.00,1630.00,1613.00,1615.00,1601.00,1535.00,7258.00,1581.00,1424.00,1461.00,1457.00,1335.00,6308.00,1318.00,1176.00,1337.00,1253.00,1224.00,6685.00,1231.00,1267.00,1339.00,1422.00,1426.00,5205.00,1173.00,1180.00,1038.00,930.00,884.00,4512.00,901.00,929.00,961.00,875.00,846.00,3526.00,770.00,766.00,729.00,669.00,592.00,2646.00,598.00,575.00,516.00,470.00,487.00,1740.00,441.00,389.00,318.00,289.00,303.00,618.00,206.00,148.00,104.00,91.00,69.00,164.00,50.00,34.00,26.00,32.00,22.00,28.00,20207.00,22928.00,,38673.00,28245.00,18439.00,,
E06000001,92028.00,5698.00,1097.00,1176.00,1155.00,1159.00,1111.00,5192.00,1150.00,1051.00,1001.00,991.00,999.00,5653.00,1060.00,1131.00,1153.00,1098.00,1211.00,6278.00,1257.00,1263.00,1307.00,1241.00,1210.00,5955.00,1174.00,1096.00,1166.00,1243.00,1276.00,5622.00,1156.00,1098.00,1159.00,1093.00,1116.00,5033.00,1075.00,1081.00,996.00,939.00,942.00,5373.00,977.00,949.00,1094.00,1125.00,1228.00,6463.00,1270.00,1276.00,1274.00,1300.00,1343.00,7267.00,1467.00,1436.00,1468.00,1433.00,1463.00,6464.00,1367.00,1313.00,1309.00,1248.00,1227.00,5595.00,1158.00,1095.00,1091.00,1138.00,1113.00,5837.00,1087.00,1142.00,1173.00,1223.00,1212.00,4236.00,936.00,936.00,800.00,796.00,768.00,3938.00,727.00,772.00,845.00,792.00,802.00,3327.00,738.00,692.00,645.00,677.00,575.00,2241.00,568.00,498.00,428.00,365.00,382.00,1323.00,358.00,289.00,229.00,221.00,226.00,438.00,163.00,127.00,63.00,51.00,34.00,81.00,29.00,15.00,16.00,15.00,6.00,14.00,17800.00,20370.00,,33467.00,25163.00,15598.00,,
E06000002,138412.00,9431.00,1979.00,1965.00,1797.00,1863.00,1827.00,8276.00,1835.00,1703.00,1640.00,1553.00,1545.00,8485.00,1652.00,1652.00,1643.00,1755.00,1783.00,10064.00,1811.00,1850.00,1897.00,2114.00,2392.00,11690.00,2495.00,2399.00,2352.00,2352.00,2092.00,9765.00,2151.00,2035.00,1990.00,1842.00,1747.00,8295.00,1879.00,1763.00,1668.00,1516.00,1469.00,8135.00,1584.00,1566.00,1599.00,1614.00,1772.00,8984.00,1834.00,1732.00,1756.00,1792.00,1870.00,9899.00,1954.00,2076.00,1924.00,1960.00,1985.00,9233.00,1914.00,1812.00,1842.00,1884.00,1781.00,7933.00,1623.00,1646.00,1604.00,1546.00,1514.00,7531.00,1452.00,1454.00,1459.00,1576.00,1590.00,5680.00,1200.00,1204.00,1097.00,1103.00,1076.00,5153.00,1030.00,1023.00,1058.00,1058.00,984.00,4278.00,963.00,873.00,856.00,797.00,789.00,3115.00,765.00,718.00,585.00,525.00,522.00,1658.00,413.00,388.00,334.00,254.00,269.00,645.00,213.00,183.00,103.00,90.00,56.00,147.00,40.00,46.00,30.00,19.00,12.00,15.00,28003.00,31750.00,,55122.00,34596.00,20691.00,,
E06000048,316028.00,16003.00,3148.00,3150.00,3205.00,3325.00,3175.00,16345.00,3336.00,3207.00,3320.00,3142.00,3340.00,17677.00,3238.00,3541.00,3620.00,3591.00,3687.00,18464.00,3841.00,3773.00,3858.00,3649.00,3343.00,16224.00,3146.00,3093.00,3318.00,3440.00,3227.00,16187.00,3405.00,3375.00,3095.00,3088.00,3224.00,16121.00,3288.00,3471.00,3275.00,2997.00,3090.00,17907.00,3196.00,3369.00,3483.00,3726.00,4133.00,22128.00,4457.00,4137.00,4368.00,4527.00,4639.00,24842.00,4826.00,5076.00,4988.00,4938.00,5014.00,24121.00,4865.00,4880.00,4921.00,4839.00,4616.00,22172.00,4486.00,4342.00,4541.00,4319.00,4484.00,24533.00,4558.00,4637.00,4770.00,5364.00,5204.00,19062.00,4068.00,4267.00,3958.00,3649.00,3120.00,15304.00,3103.00,3167.00,3128.00,3001.00,2905.00,12249.00,2664.00,2631.00,2396.00,2340.00,2218.00,8769.00,2102.00,1861.00,1756.00,1519.00,1531.00,5233.00,1301.00,1235.00,1050.00,870.00,777.00,2096.00,729.00,517.00,377.00,231.00,242.00,510.00,183.00,140.00,72.00,62.00,53.00,81.00,53866.00,61497.00,,103190.00,95668.00,63304.00,,
E06000003,135177.00,7553.00,1575.00,1478.00,1483.00,1481.00,1536.00,7098.00,1560.00,1462.00,1340.00,1304.00,1432.00,7803.00,1394.00,1584.00,1556.00,1546.00,1723.00,8835.00,1712.00,1778.00,1830.00,1775.00,1740.00,8092.00,1558.00,1539.00,1668.00,1672.00,1655.00,7628.00,1664.00,1536.00,1499.00,1392.00,1537.00,6987.00,1556.00,1482.00,1342.00,1317.00,1290.00,7654.00,1360.00,1417.00,1437.00,1650.00,1790.00,9479.00,1821.00,1812.00,1863.00,1890.00,2093.00,10398.00,2119.00,1988.00,2134.00,2076.00,2081.00,9429.00,1915.00,1922.00,1922.00,1889.00,1781.00,8458.00,1709.00,1667.00,1732.00,1682.00,1668.00,9511.00,1698.00,1816.00,1852.00,2067.00,2078.00,7776.00,1660.00,1716.00,1543.00,1460.00,1397.00,6642.00,1347.00,1389.00,1408.00,1300.00,1198.00,5017.00,1169.00,1030.00,956.00,986.00,876.00,3704.00,895.00,828.00,734.00,651.00,596.00,2133.00,522.00,480.00,440.00,383.00,308.00,769.00,266.00,193.00,140.00,97.00,73.00,191.00,68.00,54.00,30.00,22.00,17.00,20.00,24166.00,27774.00,,46963.00,37796.00,26252.00,,
E06000004,191610.00,12322.00,2477.00,2485.00,2482.00,2435.00,2443.00,10973.00,2388.00,2204.00,2232.00,2085.00,2064.00,11457.00,2141.00,2273.00,2319.00,2287.00,2437.00,12819.00,2355.00,2445.00,2723.00,2686.00,2610.00,12651.00,2551.00,2485.00,2476.00,2595.00,2544.00,12602.00,2554.00,2643.00,2410.00,2495.00,2500.00,11445.00,2491.00,2455.00,2307.00,2090.00,2102.00,12003.00,2241.00,2251.00,2324.00,2440.00,2747.00,14087.00,2793.00,2755.00,2759.00,2875.00,2905.00,14644.00,2876.00,2918.00,2934.00,3017.00,2899.00,13399.00,2789.00,2704.00,2657.00,2638.00,2611.00,11609.00,2392.00,2345.00,2390.00,2272.00,2210.00,11648.00,2216.00,2214.00,2303.00,2500.00,2415.00,8745.00,1815.00,1959.00,1753.00,1616.00,1602.00,7357.00,1443.00,1513.00,1606.00,1416.00,1379.00,6089.00,1408.00,1216.00,1192.00,1168.00,1105.00,4279.00,1158.00,931.00,814.00,711.00,665.00,2429.00,594.00,544.00,515.00,392.00,384.00,852.00,307.00,211.00,136.00,125.00,73.00,186.00,62.00,48.00,30.00,27.00,19.00,14.00,37107.00,42275.00,,73252.00,51300.00,29951.00,,
E11000004,1104825.00,63683.00,13102.00,12932.00,12660.00,12548.00,12441.00,56682.00,12117.00,11322.00,11213.00,11019.00,11011.00,59877.00,11239.00,11687.00,11709.00,12388.00,12854.00,73305.00,13062.00,12772.00,13281.00,15340.00,18850.00,88180.00,19674.00,18392.00,17423.00,16763.00,15928.00,75264.00,15985.00,15148.00,14888.00,14787.00,14456.00,68709.00,15110.00,15046.00,13838.00,12397.00,12318.00,68732.00,12994.00,12983.00,13342.00,14021.00,15392.00,76931.00,15388.00,14987.00,15376.00,15352.00,15828.00,81439.00,16133.00,16487.00,16422.00,16398.00,15999.00,75762.00,15379.00,15323.00,15299.00,15221.00,14540.00,65920.00,13689.00,13404.00,13317.00,12908.00,12602.00,67436.00,12602.00,13119.00,13226.00,14223.00,14266.00,49933.00,10757.00,11235.00,10017.00,9407.00,8517.00,44816.00,8659.00,9238.00,9211.00,9189.00,8519.00,37525.00,8075.00,7758.00,7516.00,7149.00,7027.00,27463.00,6702.00,5865.00,5594.00,4750.00,4552.00,15709.00,4030.00,3506.00,2937.00,2776.00,2460.00,5948.00,2013.00,1629.00,989.00,716.00,601.00,1307.00,473.00,317.00,253.00,146.00,118.00,204.00,193304.00,219357.00,,438059.00,290557.00,182905.00,,
E08000020,200214.00,11869.00,2530.00,2400.00,2395.00,2169.00,2375.00,10310.00,2214.00,2093.00,2016.00,1936.00,2051.00,10880.00,2023.00,2092.00,2161.00,2271.00,2333.00,12170.00,2439.00,2342.00,2436.00,2501.00,2452.00,12104.00,2264.00,2211.00,2429.00,2567.00,2633.00,14059.00,2855.00,2752.00,2914.00,2871.00,2667.00,13110.00,2870.00,2858.00,2610.00,2384.00,2388.00,12880.00,2459.00,2393.00,2502.00,2551.00,2975.00,14476.00,2849.00,2840.00,2864.00,2917.00,3006.00,15053.00,3032.00,2979.00,3024.00,3038.00,2980.00,13790.00,2859.00,2789.00,2746.00,2783.00,2613.00,11672.00,2424.00,2411.00,2323.00,2292.00,2222.00,12596.00,2284.00,2409.00,2513.00,2723.00,2667.00,9646.00,2049.00,2178.00,1945.00,1789.00,1685.00,8962.00,1743.00,1849.00,1861.00,1820.00,1689.00,7293.00,1563.00,1526.00,1448.00,1416.00,1340.00,5119.00,1315.00,1074.00,1000.00,860.00,870.00,2897.00,805.00,678.00,490.00,485.00,439.00,1062.00,350.00,292.00,192.00,118.00,110.00,240.00,84.00,63.00,49.00,27.00,17.00,26.00,35498.00,40276.00,,76360.00,53111.00,35245.00,,
E08000021,280177.00,16522.00,3539.00,3454.00,3204.00,3281.00,3044.00,14035.00,3019.00,2792.00,2723.00,2700.00,2801.00,14488.00,2833.00,2843.00,2771.00,2963.00,3078.00,22396.00,2929.00,3100.00,3056.00,4977.00,8334.00,36012.00,9403.00,8365.00,6971.00,6019.00,5254.00,22948.00,5158.00,4696.00,4542.00,4350.00,4202.00,18053.00,4091.00,3985.00,3590.00,3246.00,3141.00,16697.00,3355.00,3330.00,3238.00,3267.00,3507.00,17222.00,3563.00,3350.00,3477.00,3379.00,3453.00,17956.00,3601.00,3587.00,3582.00,3584.00,3602.00,16629.00,3372.00,3455.00,3356.00,3287.00,3159.00,14367.00,3090.00,2885.00,2925.00,2779.00,2688.00,14133.00,2671.00,2833.00,2765.00,2863.00,3001.00,10289.00,2206.00,2274.00,2093.00,1949.00,1767.00,9091.00,1726.00,1844.00,1950.00,1858.00,1713.00,7857.00,1747.00,1629.00,1523.00,1480.00,1478.00,6000.00,1419.00,1257.00,1226.00,1062.00,1036.00,3578.00,910.00,780.00,662.00,663.00,563.00,1480.00,513.00,384.00,248.00,167.00,168.00,375.00,138.00,84.00,78.00,39.00,36.00,49.00,47974.00,54130.00,,130399.00,63085.00,38719.00,,
